time,ir,red,hr,spo2,temp
162636076,9052,4089,null,0,0
162636095,8987,4059,null,0,0
162636116,10137,4815,null,0,0
162636155,10208,4838,null,0,0
162636174,59100,55083,null,0,0
162636195,6951,5038,null,0,0
162636214,6885,4991,null,0,0
162636253,6969,5135,null,0,0
162636274,7027,5179,null,0,0
162636294,6894,5056,null,0,0
162636319,6816,5085,null,0,0
162636365,6843,5259,null,0,0
162636385,7123,5397,null,0,0
162636406,7151,5367,null,0,0
162636426,7123,5408,null,0,0
162636464,7423,5677,null,0,0
162636484,7415,5682,null,0,0
162636505,7416,5688,null,0,0
162636524,7490,6034,null,0,0
162636545,7659,6162,null,0,0
162636584,7708,6218,null,0,0
162636604,7655,6345,null,0,0
162636624,7725,6534,null,0,0
162636644,7939,6790,null,0,0
162636682,7966,6923,null,0,0
162636704,8086,7198,null,0,0
162636722,8535,7595,null,0,0
162636744,8605,7845,null,0,0
162636763,8836,8286,null,0,0
162636802,9730,9568,null,0,0
162636824,10312,10376,null,0,0
162636843,10972,11248,null,0,0
162636862,12952,13950,null,0,0
162636883,14569,15916,null,0,0
162636922,16584,18205,null,0,0
162636941,20947,22534,null,0,0
162636962,41723,41175,null,0,0
162636980,44717,43591,null,0,0
162637001,45494,44214,null,0,0
162637039,46313,44875,null,0,0
162637058,48004,46235,null,0,0
162637082,48877,46979,null,0,0
162637101,49790,47723,null,0,0
162637146,51074,48927,null,0,0
162637167,51730,49448,null,0,0
162637186,53241,50460,null,0,0
162637207,53619,50740,null,0,0
162637225,54020,51074,null,0,0
162637263,54764,51764,null,0,0
162637283,55255,52095,null,0,0
162637303,55561,52348,null,0,0
162637322,55988,52717,null,0,0
162637343,57206,53665,null,0,0
162637381,57245,53663,null,0,0
162637400,57236,53622,null,0,0
162637421,56935,53307,null,0,0
162637439,56811,53074,null,0,0
162637460,56766,53025,null,0,0
162637498,57375,53415,null,0,0
162637517,58062,53712,null,0,0
162637537,57849,53262,null,0,0
162637556,57195,52632,null,0,0
162637576,56954,52295,null,0,0
162637612,55827,51337,null,0,0
162637634,55417,50883,null,0,0
162637652,55033,50533,null,0,0
162637673,55104,50527,null,0,0
162637692,55128,50495,null,0,0
162637729,55082,50442,null,0,0
162637750,55078,50417,null,0,0
162637769,54939,50334,null,0,0
162637790,55147,50519,null,0,0
162637808,55307,50774,null,0,0
162637850,55432,50879,null,0,0
162637878,55526,50884,null,0,0
162637897,55614,51054,null,0,0
162637918,56745,52026,null,0,0
162637957,57380,52693,null,0,0
162637976,57822,52978,null,0,0
162637995,58396,53538,null,0,0
162638015,58484,53666,null,0,0
162638034,58866,54121,null,0,0
162638072,58713,54100,null,0,0
162638094,58845,54268,null,0,0
162638112,58470,54069,null,0,0
162638133,58134,53882,null,0,0
162638152,57725,53541,null,0,0
162638190,56632,52868,null,0,0
162638211,56122,52538,null,0,0
162638230,55467,52115,null,0,0
162638251,56269,52847,null,0,0
162638270,57901,54223,null,0,0
162638308,58233,54455,null,0,0
162638330,59100,55083,null,0,0
162638348,59280,55202,null,0,0
162638367,59332,55237,null,0,0
162638407,59086,54976,null,0,0
162638428,58749,54694,null,0,0
162638446,58540,54546,null,0,0
162638467,57269,53610,null,0,0
162638486,57057,53295,null,0,0
162638524,56263,52656,null,0,0
162638545,56098,52508,null,0,0
162638564,1929,500,null,0,0
162638588,9555,4451,null,0,0
162638634,9347,4310,null,0,0
162638653,9426,4379,null,0,0
162638674,9428,4342,null,0,0
162638693,54939,50334,null,0,0
162638731,55872,52295,null,0,0
162638750,55904,52378,null,0,0
162638771,56048,52522,null,0,0
162638790,56256,52610,null,0,0
162638811,56245,52679,null,0,0
162638849,56367,52827,null,0,0
162638869,56503,52875,null,0,0
162638890,56455,52823,null,0,0
162638910,56088,52650,null,0,0
162638949,56327,52794,null,0,0
162638971,56515,52929,null,0,0
162638994,57112,53449,null,0,0
162639015,57443,53724,null,0,0
162639055,57809,54024,null,0,0
162639075,58372,54480,null,0,0
162639096,58654,54719,null,0,0
162639115,58939,54963,null,0,0
162639134,59221,55180,null,0,0
162639173,59314,55247,null,0,0
162639194,59655,55570,null,0,0
162639213,60402,56249,null,0,0
162639234,60713,56510,null,0,0
162639253,60987,56711,null,0,0
162639292,61252,56933,null,0,0
162639314,61286,56983,null,0,0
162639332,61218,56928,null,0,0
162639357,61165,56838,null,0,0
162639403,61131,56846,null,0,0
162639422,61092,56845,null,0,0
162639443,61137,56821,null,0,0
162639462,61179,56863,null,0,0
162639502,61366,57020,null,0,0
162639521,60618,56425,null,0,0
162639542,60513,56347,null,0,0
162639562,60344,56181,null,0,0
162639583,60177,56032,null,0,0
162639621,59901,55785,null,0,0
162639641,59688,55651,null,0,0
162639662,59423,55413,null,0,0
162639682,58911,54943,null,0,0
162639720,58756,54841,null,0,0
162639742,58643,54756,null,0,0
162639761,58516,54638,null,0,0
162639782,58427,54587,null,0,0
162639800,58349,54496,null,0,0
162639839,58019,54234,null,0,0
162639861,57926,54166,null,0,0
162639879,57877,54121,null,0,0
162639898,57814,54056,null,0,0
162639920,57855,54078,null,0,0
162639958,58250,54395,null,0,0
162639977,58379,54555,null,0,0
162639998,58573,54710,null,0,0
162640016,58985,55052,null,0,0
162640037,59184,55231,null,0,0
162640075,59412,55411,null,0,0
162640094,59738,55660,null,0,0
162640117,59983,55869,null,0,0
162640136,60161,55988,null,0,0
162640182,60411,56160,null,0,0
162640205,60483,56246,null,0,0
162640225,60568,56308,null,0,0
162640248,60622,56341,null,0,0
162640285,60663,56368,null,0,0
162640307,60769,56490,null,0,0
162640326,60978,56683,null,0,0
162640347,61094,56744,null,0,0
162640366,61187,56819,null,0,0
162640404,61371,57047,null,0,0
162640425,61520,57104,null,0,0
162640444,61690,57282,null,0,0
162640465,61779,57348,null,0,0
162640483,61863,57403,null,0,0
162640522,62055,57514,null,0,0
162640543,62085,57635,null,0,0
162640561,62164,57701,null,0,0
162640582,62386,57857,null,0,0
162640601,62471,57940,null,0,0
162640639,62577,58063,null,0,0
162640658,62703,58088,null,0,0
162640679,62832,58260,null,0,0
162640698,62778,58198,null,0,0
162640718,62898,58325,null,0,0
162640756,62957,58373,null,0,0
162640775,62997,58408,null,0,0
162640796,63112,58504,null,0,0
162640814,63204,58613,null,0,0
162640835,63270,58656,null,0,0
162640876,63326,58684,null,0,0
162640896,63303,58668,null,0,0
162640923,62555,58010,null,0,0
162640942,61965,57689,null,0,0
162640980,62425,58078,null,0,0
162641002,62533,58113,null,0,0
162641020,62552,58168,null,0,0
162641039,62679,58258,null,0,0
162641060,62756,58348,null,0,0
162641097,62876,58442,null,0,0
162641116,1929,500,null,0,0
162641137,9570,4394,null,0,0
162641156,9497,4378,null,0,0
162641176,10192,4823,null,0,0
162641214,10282,4891,null,0,0
162641234,10235,4859,null,0,0
162641255,10207,4754,null,0,0
162641273,10208,4820,null,0,0
162641294,10280,4886,null,0,0
162641331,55082,50442,null,0,0
162641350,55078,50417,null,0,0
162641371,56088,52650,null,0,0
162641390,56327,52794,null,0,0
162641408,56515,52929,null,0,0
162641446,63009,58492,null,0,0
162641467,63027,58583,null,0,0
162641486,63107,58672,null,0,0
162641506,63230,58720,null,0,0
162641524,63314,58804,null,0,0
162641562,63387,58872,null,0,0
162641583,63479,58958,null,0,0
162641602,63616,59039,null,0,0
162641628,63633,59075,null,0,0
162641673,63748,59238,null,0,0
162641692,63808,59228,null,0,0
162641713,63797,59289,null,0,0
162641731,63920,59359,null,0,0
162641769,63968,59373,null,0,0
162641788,64093,59509,null,0,0
162641809,64149,59530,null,0,0
162641828,64185,59550,null,0,0
162641848,64208,59549,null,0,0
162641886,64188,59503,null,0,0
162641906,64208,59544,null,0,0
162641927,64240,59571,null,0,0
162641946,64565,59802,null,0,0
162641985,64615,59857,null,0,0
162642010,64652,59870,null,0,0
162642029,64647,59910,null,0,0
162642050,64695,59951,null,0,0
162642090,64762,60009,null,0,0
162642109,64878,60112,null,0,0
162642130,64949,60139,null,0,0
162642149,65017,60209,null,0,0
162642188,65055,60275,null,0,0
162642208,65348,60520,null,0,0
162642229,65305,60474,null,0,0
162642249,65340,60525,null,0,0
162642289,65465,60544,null,0,0
162642312,65480,60630,null,0,0
162642333,65492,60628,null,0,0
162642354,65348,60497,null,0,0
162642392,65296,60469,null,0,0
162642412,65327,60534,null,0,0
162642434,65431,60591,null,0,0
162642454,65423,60592,null,0,0
162642500,65438,60626,null,0,0
162642528,65528,60670,null,0,0
162642549,65487,60652,null,0,0
162642572,65464,60616,null,0,0
162642610,65430,60619,null,0,0
162642632,65400,60608,null,0,0
162642657,65421,60598,null,0,0
162642679,65422,60617,null,0,0
162642719,65460,60659,null,0,0
162642739,65447,60654,null,0,0
162642761,65420,60627,null,0,0
162642782,65405,60618,null,0,0
162642824,65388,60611,null,0,0
162642848,65350,60576,null,0,0
162642867,65323,60578,null,0,0
162642892,65358,60601,null,0,0
162642934,65385,60622,null,0,0
162642954,65379,60623,null,0,0
162642975,65385,60633,null,0,0
162642995,65434,60697,null,0,0
162643038,65465,60692,null,0,0
162643058,65480,60727,null,0,0
162643080,65562,60797,null,0,0
162643100,65411,60818,null,0,0
162643140,65374,60800,null,0,0
162643162,65368,60790,null,0,0
162643181,65371,60817,null,0,0
162643204,65438,60818,null,0,0
162643248,65437,60786,null,0,0
162643271,65399,60782,null,0,0
162643303,65449,60800,null,0,0
162643322,65449,60779,null,0,0
162643361,65430,60761,null,0,0
162643383,65343,60725,null,0,0
162643402,65347,60717,null,0,0
162643421,65365,60733,null,0,0
162643441,65438,60793,null,0,0
162643480,65534,60891,null,0,0
162643500,65634,60978,null,0,0
162643522,65717,61018,null,0,0
162643541,65697,61008,null,0,0
162643580,65711,61047,null,0,0
162643602,65737,61046,null,0,0
162643621,65770,61058,null,0,0
162643643,65863,61165,null,0,0
162643682,65906,61192,null,0,0
162643701,65900,61179,null,0,0
162643722,65898,61211,null,0,0
162643741,65867,61191,null,0,0
